id,title,sell_point,taobao_price,stock,barcode,image,cid,status,created,updated,quality_score,jindong_price
,良品铺子,【12根】手撕风干烤脖(烧烤味)独立包装休闲零食充氮整根卤味观赛,24.9,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100002986/2024/0402/50/2639fec8-f14a-4d8c-8c3e-e235a89cae82_420_531.jpg,1,1,,,,
,周黑鸭,卤味多多零食大礼包410g甜辣鸭脖锁骨鸭翅鸭掌鸭胗肉干,35,400952,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/608375/2022/0301/180/41b7b613-4908-443b-aca5-3107d827c58d_420_531.jpg,1,1,,,,
,三只松鼠,黑鸭味烤脖蜜汁味烤脖鸡脖鸭脖肉食小吃零食休闲食品,9.8,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100002418/2024/0530/89/be48777e-95fa-4d4d-8bb4-23b1886c94a8_420_531.jpg,1,1,,,,
,盐津铺子,手撕烤脖整根长脖卤味解馋小吃休闲零食多口味风干,21.5,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100013164/2024/0312/45/40253258-69a2-455a-9689-a17f630442f0_420_531.jpg,1,1,,,,
,Kingwuu,【2盒装】精武鸭脖450g整箱甜辣麻辣武汉特产卤味鸭脖子,72.2,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/635702/2023/1124/8/cd28f8ab-daaa-42bd-9848-a53b74444790_420_531.jpg,1,1,,,,
,回味一梦,【10/15/20根】手撕风干鸭脖60g整根鸭肉类零食解馋卤味氮气锁鲜,79,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014606/2023/1128/125/1de2cea9-22d2-49fa-a9e2-52c947d6491c_420_531.jpg,1,1,,,,
,良品铺子,【任选】/甜辣鸭脖190g即食鸭肉解馋零食武汉特产正宗地道风味,16.9,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100002986/2021/1015/152/cd005100-3d27-4efe-97f2-c75584ee7117_420_531.jpg,1,1,,,,
,周黑鸭,【爆款4袋装】周黑鸭休闲零食大礼包810g 麻辣小吃鸭脖肉干,42,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/608375/2020/0513/191/9d488f59-6568-48b5-b0ed-3bb518a501c4_420_531.jpg,1,1,,,,
,百草味,【79任选15件】风干鸭脖60g风干手撕鸭脖肉类零食食品夜宵熟食,9.9,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100009249/2022/1129/108/84cf8f69-20e9-43ff-967a-4cdecb210a83_420_531.jpg,1,1,,,,
,三只松鼠,热卖_麻辣零食大礼包500g/袋卤肉鸭翅鸭脖熟食,19,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100002418/2021/0612/169/e1f68727-1968-4864-9a6e-2fa0ed245ec8_420_531.jpg,1,1,,,,
,Kingwuu,精武荤素大礼包500克/盒鸭脖锁骨鸭翅豆干麻辣卤味零食大礼包,31.35,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/635702/2024/0626/160/d2abc00f-6a8f-49e9-8be1-adaee43d03c5_420_531.jpg,1,1,,,,
,回味一梦,【10/15/20根】手撕风干鸭脖65g整根鸭肉类零食解馋卤味氮气锁鲜,81,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014606/2023/1128/101/ba730a29-0e44-45d7-b9a1-decffb6db46f_420_531.jpg,1,1,,,,
,良品铺子,手撕鸭脖(香辣味/烧烤味)60g整根大鸭脖休闲零食,9.9,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100002986/2023/1214/138/c3dd7a6f-ce90-40e3-b86e-ceb98b82a619_420_531.jpg,1,1,,,,
,周黑鸭,卤鸭脖215g*3袋 麻辣小吃 休闲卤味零食 经典大包装,39,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/608375/2020/0106/122/176f83e5-666c-4281-ace3-fb115392df5a_420_531.jpg,1,1,,,,
,味滋源,鸭脖60g/袋 香辣鸭脖鸭肉卤味卤肉小吃休闲零食品,8.9,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100000454/2023/0706/169/6e2163d1-d6af-4ffc-8d04-665f35fa2a89_420_531.jpg,1,1,,,,
,三只松鼠,黑鸭味烤脖蜜汁味烤脖鸡脖鸭脖肉食小吃零食休闲食品,9.8,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100002418/2024/0530/89/be48777e-95fa-4d4d-8bb4-23b1886c94a8_420_531.jpg,1,1,,,,
,Kingwuu,精武鸭脖450g整箱甜麻辣味小包装武汉鸭肉即食休闲零食,34.2,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100012598/2022/0325/108/e3a91d22-0f2b-47aa-b86e-9bd303c9a23a_420_531.jpg,1,1,,,,
,回味一梦,【10/15/20根】手撕风干鸭脖60g整根鸭肉类零食解馋卤味氮气锁鲜,79,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014606/2023/1128/125/1de2cea9-22d2-49fa-a9e2-52c947d6491c_420_531.jpg,1,1,,,,
,良品铺子,【约15袋】风干鸭架鸭锁骨椒麻青花椒味鸭脖卤味解馋辣味零食观赛,30,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100002986/2024/0625/118/68eb2458-b9eb-4585-bebe-b7483b283bb8_420_531.jpg,1,1,,,,
,周黑鸭,新品 周小伴 充氮手撕风干鸭脖55g*4 即食零食小吃,32,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/608375/2024/0131/7/46569364-24d3-4fa2-b27a-4199d5ad873a_420_531.jpg,1,1,,,,
,来伊份,来吃鸭风味鸭脖488g卤味鸭脖子整箱即食鸭脖小吃休闲零食解馋,49.8,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/pos-mp-admin.vip.com/2023/0616/125/c90bfa95-9a6f-4a89-ad79-754b966f6134_950_1200_420_531.jpg,1,1,,,,
,口口香,【2件起售】休闲零食风干长鸭脖65g*3根 小吃卤味熟食鸭肉网红食品,26,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/608407/2022/0111/178/88e2bef1-cad6-499e-983c-a59bb1dc1ac6_420_531.jpg,1,1,,,,
,Kingwuu,【畅享6根装】精武整根手撕风干鸭脖53g/根整根鸭脖氮气保鲜,50.35,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/635702/2023/1127/1/de043995-86d1-4a09-8925-a9e0380b6d70_420_531.jpg,1,1,,,,
,回味一梦,【5根】手撕风干鸭脖65g*5整根鸭肉类休闲零食解馋卤味氮气锁鲜,45,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014606/2023/0928/47/a4a82a6a-86c4-49c7-9c03-ec7a3926fd17_420_531.jpg,1,1,,,,
,无穷,【自营】63g嗦汁鸭脖*3袋麻辣鸭脖卤味美味方便携带休闲零食,32,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/618158/2023/0321/92/01854717-e533-4941-aecf-5269f9975b07_420_531.jpg,1,1,,,,
,周黑鸭,新品 周小伴 充氮手撕风干鸭脖55g*6 即食零食小吃,46,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/608375/2024/0131/152/9b282423-6937-483c-b4ae-b476bbbc64f5_420_531.jpg,1,1,,,,
